video_id,exercise_id,exercise_name,equipment,youtube_link
101,43,Inverted Row: One Arm,body weight,https://youtu.be/4LZPXN-Sbww?si=s69fF7Rw8bTGMh25
103,45,Seated High Row,lever,https://youtu.be/Lm08P42-ZUo?si=ryDrxQNbz0iaTOHc
105,45,Seated High Row,cable,https://youtu.be/pId1sXqgc7c?si=iXYRN7A6yUJ7y7yX
107,47,T-Bar Row: Close Grip,barbell,https://youtu.be/Iw4vt9ajM-U?si=nLi-V-we7mFh8owb
109,47,T-Bar Row: Close Grip,lever,
111,49,Incline Row: Close Grip,barbell,https://youtu.be/TyLoy3n_a10?si=IUGG_lNyfFNTSiUg
113,49,Incline Row: Close Grip,dumbbell,https://youtu.be/2LxN3_3atps?si=LQoCc21dXUzqhung
115,51,Chest Dip,body weight (weighted),https://youtu.be/h_qLxCGaeU8?si=BJcuo5E-uBlsIO5Y
117,51,Chest Dip,assisted machine,https://youtu.be/g3o0dC_qCns?si=ETSygEu5fR_HW0UK
119,51,Chest Dip,body weight,https://youtu.be/4la6BkUBLgo?si=9LVFWw8sqrJBlGVh
121,53,Bench Press: Power Lift,barbell,https://youtu.be/PkUAlBrC0-g?si=PEdLBFyHj1rHiCbo
123,55,Bench Press,dumbbell,https://youtu.be/VmB1G1K7v94?si=02NXpsASHX5ZyB5D
125,55,Bench Press,barbell,https://youtu.be/rT7DgCr-3pg?si=zJEN2zTF2-cPfS1V
127,55,Bench Press,lever,https://youtu.be/JLR1VtYTuF4?si=DK8hApiBl1fp0x8M
129,57,Burpees,body weight,https://youtu.be/818SkLAPyKY?si=4D7ZVAceR_sWdiDG
131,57,Burpees,plyometric,https://youtu.be/6pH6IHw822A?si=AeQxjHrYdvE-e2oU
133,59,Presses: Bench Press,lever,https://youtu.be/JLR1VtYTuF4?si=DK8hApiBl1fp0x8M
135,59,Presses: Bench Press,barbell,https://youtu.be/rT7DgCr-3pg?si=zJEN2zTF2-cPfS1V
137,59,Presses: Bench Press,dumbbell,https://youtu.be/VmB1G1K7v94?si=02NXpsASHX5ZyB5D
139,61,Standing Chest Dip,body weight (weighted),https://youtu.be/h_qLxCGaeU8?si=BJcuo5E-uBlsIO5Y
141,61,Standing Chest Dip,body weight,https://youtu.be/4la6BkUBLgo?si=9LVFWw8sqrJBlGVh
143,63,Forward Angled Single Leg Calf Raise,body weight,https://youtu.be/qPd73snQfUs?si=DljimRpEu2saTjqU
145,63,Forward Angled Single Leg Calf Raise,dumbbell,https://youtu.be/uhLjADhUxFM?si=U_2wBM_-Jl-dbi06
147,65,Bent-Over Row,barbell,https://youtu.be/vT2GjY_Umpw?si=Rf9f2Vg04bkFBVsk
149,65,Bent-Over Row,dumbbell,https://youtu.be/QFq5jdwWwX4?si=tq1bf9-baP-l0MTa
151,67,Standing Calf Raise,dumbbell,https://youtu.be/_iYwv4QVFjM?si=WySbhxLwteVTRVh9
153,67,Standing Calf Raise,lever,https://youtu.be/qw6FeQFg4G8?si=CRKMHZJExwaqjTNe
155,67,Standing Calf Raise,barbell,https://youtu.be/3UWi44yN-wM?si=1MSdecFwIjArGCB2
157,67,Standing Calf Raise,body weight,https://youtu.be/k67UjgvJdEk?si=FaTAkoyIbYkx3Vdt
159,69,45  Calf Press,lever,https://youtu.be/qw6FeQFg4G8?si=CRKMHZJExwaqjTNe
